"X","Y"
582463.35,6520589.07
581591.8,6519895.48
581323.4,6520976.04
580561.37,6519994.38
581772.61,6520522.49
582495.58,6520535.48
581913.87,6519645.35
582310.14,6519491.61
583036.52,6519429.74
582746.2,6519106.35
581628.67,6519570.07
581804.4,6520013.47
582818.59,6520106.42
582256.56,6518020.66
581961.18,6519850.07
582790.69,6520966.37
582119.38,6519908.85
582455.69,6519576.85
538986.88,6582601.08
541018.63,6583673.54
533793.1,6590239.72
533711.65,6590200.45
533812.3,6590148.17
547730.45,6593610.05
535538.56,6580228.3
533579.15,6588950.77
546175.18,6589835.61
548958,6589264.02
545719.86,6589374.55
540971,6586351.9
550058.63,6591960.19
549942.22,6591960.69
549894.63,6591803.69
533175.03,6590648.08
541693.93,6587430.98
542021.1,6587653.24
542450.8,6589114.86
542935.8,6589740.77
543816,6588420.1
542515.49,6589287.8
547639.25,6594509
549788.2,6594279.7
549869.55,6594556.03
548100.55,6594386.29
550107.96,6594271.43
548137.82,6594344.3
547578.89,6594453.87
549533.93,6594346.89
550193.87,6594148.84
549712.51,6595212.68
548132.01,6595088.12
549959.24,6594274.61
548199.13,6595404.16
537066.33,6583910.32
540096.59,6582688.54
548097.71,6595262.85
549454.29,6591290.36
547455.09,6592761.79
547525.87,6592652.05
549331.96,6595005.06
540087.91,6586270.01
547730.2,6593012.57
548893.85,6595055.94
548429.06,6595255.71
539823.67,6591957.26
539754.42,6582203.65
549597,6594985.79
549511.4,6594966.3
548292.32,6593930.76
540762.2,6586151.06
541159.25,6583981.79
536861.22,6581487.4
541232.39,6581862.94
549182.33,6594491.33
542517.56,6586272.73
540494.81,6587130.66
539653.22,6584592.4
549412.73,6594668.18
545231.78,6588089.8
549687.99,6595003.48
547340.62,6587931.96
540167.95,6586974.82
538084.67,6584564.47
538554.86,6583927.42
538024.72,6583976.17
536564.31,6585492.64
427111.52,6540549.87
427038.59,6540382.91
428215.79,6539080.82
427628.52,6540333.02
428220.71,6540224.01
428756.24,6541359.33
428266.96,6539902.6
428377.45,6540099.38
426889.41,6540667.26
427878.96,6539806.16
428401.75,6541293.41
427711.58,6541119.69
428134.79,6540867.4
427965.65,6539164.32
426751.72,6540977.36
427302.22,6539948.03
427995.17,6540582.95
428469.83,6540258.27
427890.38,6540905.45
427588.78,6541016.86
428159.63,6540668.75
428266.41,6539423.65
427111.26,6540127.44
427893.31,6539212.16
427637.9,6539548.07
426642.89,6539909.59
427326.73,6541054.71
428124.11,6539419.85
427933.61,6539283.39
426974.76,6540627.2
427834.22,6541409.43
427814.74,6539007.97
428352.93,6538617.33
428373.9,6541363.87
427734.4,6539963.12
428419.78,6540422.28
427508.81,6539904.36
426887.41,6540814.7
428643.13,6540243.3
427594.81,6540723.79
428148.78,6541081.32
427521.73,6540813.3
428366.05,6541118.08
428176.96,6540486.92
428435.3,6540724.79
428556.66,6541324.5
428745.03,6540998.54
427972.91,6540497.19
428076.67,6540767.45
668351.99,6583693.85
671441.81,6582602.81
668612.73,6583352.82
669445.65,6583699.21
667936.35,6582942.34
668179.59,6582339.79
668353.81,6582750.38
668272.61,6582841.2
668591.36,6582895.75
671033.85,6583062.56
668833.22,6583369.62
668680.03,6582412.28
669878.24,6583274.19
670741.89,6583800.36
671502.89,6583286.78
668525.21,6583311.48
669224.84,6583681.19
669027.27,6583665.99
668276.18,6583706.11
671303.6,6583384.83
669198.71,6583039.89
668670.86,6582606.11
668863.23,6583076.3
668824.3,6582820.66
666082.62,6583145.85
671709.38,6582605.09
668500.4,6582422.28
668587.12,6582498.75
668503.61,6583422.41
668420.75,6582765.69
669843.45,6583647.16
668969.79,6583339.48
668351.1,6583433.5
668456.21,6583328.63
668405.47,6583519.42
669075.71,6583537.5
668114.76,6583289.04
668282.28,6583392.27
668146.62,6583898.53
669002.7,6583246.79
671301.68,6582007.22
666278.41,6582414.43
668295.15,6582908.16
666199.09,6582303.25
668582.91,6582528.14
668510.16,6582533.13
668191.6,6584018.59
669461.58,6583384.57
668175.08,6583272.69
666549.47,6581792.47
666200.09,6582201.83
668063.92,6583447.51
669020.27,6583657.59
669268.75,6583391.55
668796.1,6584555.01
668712.48,6583575.07
668228.08,6583898.62
668497.34,6583027.24
